               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.029065,           0.0080533,           0.0046986,             0.72316,              0.9739,             0.88511,             0.63688,            0.020727,           0.0043447,           0.0030456,           0.0084358,           0.0084358,           0.0084358
                  81,            0.028769,           0.0092276,           0.0051861,             0.67843,                   1,             0.87622,              0.6459,            0.020637,           0.0044663,            0.003098,            0.008416,            0.008416,            0.008416
                  82,            0.028767,           0.0093319,           0.0051758,             0.71538,             0.94011,             0.87863,             0.63338,            0.019593,           0.0044236,           0.0032173,           0.0083962,           0.0083962,           0.0083962
                  83,            0.029775,           0.0083474,           0.0049344,             0.73452,             0.91934,             0.86821,             0.62907,            0.020512,            0.004391,           0.0031796,           0.0083764,           0.0083764,           0.0083764
                  84,            0.026726,           0.0085712,           0.0049314,             0.67779,             0.93882,             0.84205,             0.58372,            0.022005,           0.0046692,            0.003047,           0.0083566,           0.0083566,           0.0083566
                  85,            0.028126,           0.0080409,           0.0051208,             0.73268,             0.92496,             0.88985,             0.59162,            0.025883,           0.0041471,           0.0031025,           0.0083368,           0.0083368,           0.0083368
                  86,            0.029618,           0.0076686,           0.0050005,             0.74654,             0.94476,               0.902,             0.74777,            0.018595,           0.0043216,           0.0030259,            0.008317,            0.008317,            0.008317
                  87,            0.025044,           0.0095222,           0.0056366,             0.73233,                0.95,             0.90627,             0.70949,            0.019241,           0.0042766,           0.0027518,           0.0082972,           0.0082972,           0.0082972
                  88,            0.029614,           0.0089076,           0.0043418,             0.70834,                0.95,             0.90495,             0.67716,            0.020314,            0.004437,           0.0026529,           0.0082774,           0.0082774,           0.0082774
                  89,            0.027579,           0.0087265,           0.0051638,             0.68687,                0.95,             0.90606,             0.69409,            0.019602,           0.0044004,           0.0026242,           0.0082576,           0.0082576,           0.0082576
                  90,            0.026069,           0.0079649,           0.0052218,             0.70771,             0.91084,             0.87468,             0.68565,             0.01858,           0.0041988,           0.0026814,           0.0082378,           0.0082378,           0.0082378
                  91,            0.025287,            0.008566,           0.0051537,             0.70612,             0.93495,             0.89208,             0.63326,            0.022286,           0.0041384,           0.0027331,            0.008218,            0.008218,            0.008218
                  92,            0.028582,           0.0083852,            0.004545,             0.73156,              0.9134,             0.89105,             0.67567,            0.019596,           0.0041387,           0.0027269,           0.0081982,           0.0081982,           0.0081982
                  93,            0.029374,           0.0078832,           0.0049194,             0.72373,                 0.9,             0.88592,             0.66044,            0.019189,           0.0040834,           0.0027352,           0.0081784,           0.0081784,           0.0081784
                  94,            0.027171,           0.0082804,           0.0051759,             0.68293,             0.95306,             0.88706,             0.62808,            0.021844,           0.0040991,           0.0027071,           0.0081586,           0.0081586,           0.0081586
                  95,            0.026938,           0.0088875,           0.0053181,             0.72851,             0.91421,             0.86718,             0.67201,            0.019659,           0.0040271,           0.0027324,           0.0081388,           0.0081388,           0.0081388
                  96,            0.026718,           0.0077588,           0.0047002,             0.75775,             0.92126,             0.89894,             0.66313,            0.019329,           0.0039726,           0.0027057,            0.008119,            0.008119,            0.008119
                  97,            0.027383,           0.0081414,           0.0045794,             0.79863,              0.9283,             0.91851,              0.6731,            0.020767,           0.0038981,           0.0026914,           0.0080992,           0.0080992,           0.0080992
                  98,            0.027106,           0.0077754,           0.0043679,             0.75066,                0.96,             0.93209,              0.6571,            0.020125,           0.0037848,           0.0026559,           0.0080794,           0.0080794,           0.0080794
                  99,            0.028059,           0.0091282,           0.0047492,             0.74302,             0.96915,             0.92659,             0.68714,            0.019158,           0.0039099,             0.00268,           0.0080596,           0.0080596,           0.0080596
                 100,            0.027072,           0.0082233,           0.0045479,             0.73498,             0.97063,             0.92811,             0.70556,            0.018018,           0.0038149,           0.0026948,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026556,           0.0075633,           0.0039671,             0.77961,             0.95731,             0.91892,             0.70395,            0.019163,           0.0036694,           0.0027057,             0.00802,             0.00802,             0.00802
                 102,            0.027596,           0.0075825,           0.0042219,             0.76026,                0.95,             0.89591,              0.6016,            0.021014,           0.0036867,           0.0028505,           0.0080002,           0.0080002,           0.0080002
                 103,            0.027204,           0.0084239,           0.0043496,             0.73959,             0.92583,             0.91081,              0.6635,            0.020422,           0.0035872,           0.0028777,           0.0079804,           0.0079804,           0.0079804
                 104,             0.02789,           0.0076792,           0.0038008,             0.72795,                0.94,             0.90425,             0.70567,             0.01825,           0.0035826,           0.0029004,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02529,           0.0079467,           0.0041482,              0.7583,             0.96161,             0.93004,             0.72273,            0.019065,           0.0036767,           0.0028315,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025349,           0.0086334,            0.004074,             0.81738,                0.89,             0.93113,             0.75817,            0.016273,           0.0036221,           0.0027815,            0.007921,            0.007921,            0.007921
                 107,            0.023014,           0.0082207,           0.0045479,             0.77155,             0.92963,             0.91255,             0.64801,            0.018393,           0.0035571,           0.0026799,           0.0079012,           0.0079012,           0.0079012
                 108,            0.026753,           0.0075785,           0.0040795,             0.80701,             0.92289,             0.92301,             0.67045,            0.019194,           0.0035966,           0.0027565,           0.0078814,           0.0078814,           0.0078814
                 109,            0.025185,           0.0073978,           0.0043757,             0.77577,             0.93231,             0.91661,              0.6962,            0.019296,           0.0036438,           0.0030629,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02624,           0.0081577,           0.0036834,             0.79924,             0.92352,             0.92179,             0.65371,            0.018292,           0.0035828,           0.0035197,           0.0078418,           0.0078418,           0.0078418
                 111,              0.0222,           0.0074946,           0.0046371,             0.72146,              0.8981,             0.87216,             0.73828,            0.018386,           0.0036296,           0.0025893,            0.007822,            0.007822,            0.007822
                 112,             0.02604,           0.0082046,           0.0039935,             0.77555,              0.9424,             0.93089,             0.75272,            0.016952,           0.0036718,           0.0025625,           0.0078022,           0.0078022,           0.0078022
                 113,            0.025201,           0.0082007,           0.0035681,             0.78673,             0.96397,             0.93267,             0.73195,            0.016525,           0.0035364,           0.0025942,           0.0077824,           0.0077824,           0.0077824
                 114,             0.02518,           0.0082744,           0.0043129,             0.82028,                0.94,             0.93842,             0.69793,            0.017844,           0.0035363,           0.0026306,           0.0077626,           0.0077626,           0.0077626
                 115,             0.02489,           0.0069289,            0.003811,             0.83184,                0.92,             0.93715,             0.77271,            0.016733,           0.0035449,           0.0026389,           0.0077428,           0.0077428,           0.0077428
                 116,            0.024942,           0.0077157,           0.0037007,             0.80437,              0.9838,             0.93764,             0.76181,            0.018333,           0.0035221,           0.0025835,            0.007723,            0.007723,            0.007723
                 117,            0.024593,           0.0076404,            0.004187,             0.79783,             0.98539,             0.93316,             0.71139,            0.017175,           0.0036224,           0.0025478,           0.0077032,           0.0077032,           0.0077032
                 118,            0.025513,           0.0076842,           0.0048803,             0.80065,                0.99,             0.93193,             0.72513,            0.016483,           0.0036615,            0.002549,           0.0076834,           0.0076834,           0.0076834
